Date : 2026-08-06 22:41:39
Directory : c:\First Person Shooter
Total : 415 files,  51805 codes, 19573 comments, 11179 blanks, all 82557 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\First Person Shooter\Libarys\include\glm\ext\vector_common.inl                  | C++                |         76 |          0 |         13 |         89 |
| c:\First Person Shooter\Libarys\include\glm\ext\vector_double1.hpp                 | C++                |          9 |         16 |          7 |         32 |
| c:\First Person Shooter\Libarys\include\glm\ext\vector_double1_precision.hpp       | C++                |         11 |         17 |          9 |         37 |
| c:\First Person Shooter\Libarys\include\glm\ext\vector_double2.hpp                 | C++                |          6 |          8 |          5 |         19 |
| c:\First Person Shooter\Libarys\include\glm\ext\vector_double2_precision.hpp       | C++                |          8 |         17 |          7 |         32 |
| c:\First Person Shooter\Libarys\include\glm\ext\vector_double3.hpp                 | C++                |          6 |          8 |          5 |         19 |
| c:\First Person Shooter\Libarys\include\glm\ext\vector_double3_precision.hpp       | C++                |          8 |         20 |          7 |         35 |
| c:\First Person Shooter\Libarys\include\glm\ext\vector_double4.hpp                 | C++                |          6 |          8 |          5 |         19 |
| c:\First Person Shooter\Libarys\include\glm\ext\vector_double4_precision.hpp       | C++                |          9 |         20 |          7 |         36 |
| c:\First Person Shooter\Libarys\include\glm\ext\vector_float1.hpp                  | C++                |          9 |         16 |          7 |         32 |
| c:\First Person Shooter\Libarys\include\glm\ext\vector_float1_precision.hpp        | C++                |         11 |         17 |          9 |         37 |
| c:\First Person Shooter\Libarys\include\glm\ext\vector_float2.hpp                  | C++                |          6 |          8 |          5 |         19 |
| c:\First Person Shooter\Libarys\include\glm\ext\vector_float2_precision.hpp        | C++                |          8 |         17 |          7 |         32 |
| c:\First Person Shooter\Libarys\include\glm\ext\vector_float3.hpp                  | C++                |          6 |          8 |          5 |         19 |
| c:\First Person Shooter\Libarys\include\glm\ext\vector_float3_precision.hpp        | C++                |          8 |         17 |          7 |         32 |
| c:\First Person Shooter\Libarys\include\glm\ext\vector_float4.hpp                  | C++                |          6 |          8 |          5 |         19 |
| c:\First Person Shooter\Libarys\include\glm\ext\vector_float4_precision.hpp        | C++                |          8 |         17 |          7 |         32 |
| c:\First Person Shooter\Libarys\include\glm\ext\vector_int1.hpp                    | C++                |          9 |         16 |          8 |         33 |
| c:\First Person Shooter\Libarys\include\glm\ext\vector_int1_precision.hpp          | C++                |         11 |         15 |          9 |         35 |
| c:\First Person Shooter\Libarys\include\glm\ext\vector_int2.hpp                    | C++                |          6 |          8 |          5 |         19 |
| c:\First Person Shooter\Libarys\include\glm\ext\vector_int2_precision.hpp          | C++                |          8 |         17 |          7 |         32 |
| c:\First Person Shooter\Libarys\include\glm\ext\vector_int3.hpp                    | C++                |          6 |          8 |          5 |         19 |
| c:\First Person Shooter\Libarys\include\glm\ext\vector_int3_precision.hpp          | C++                |          8 |         17 |          7 |         32 |
| c:\First Person Shooter\Libarys\include\glm\ext\vector_int4.hpp                    | C++                |          6 |          8 |          5 |         19 |
| c:\First Person Shooter\Libarys\include\glm\ext\vector_int4_precision.hpp          | C++                |          8 |         17 |          7 |         32 |
| c:\First Person Shooter\Libarys\include\glm\ext\vector_integer.hpp                 | C++                |         34 |         99 |         17 |        150 |
| c:\First Person Shooter\Libarys\include\glm\ext\vector_integer.inl                 | C++                |         65 |          0 |         21 |         86 |
| c:\First Person Shooter\Libarys\include\glm\ext\vector_relational.hpp              | C++                |         25 |         68 |         15 |        108 |
| c:\First Person Shooter\Libarys\include\glm\ext\vector_relational.inl              | C++                |         62 |          3 |         11 |         76 |
| c:\First Person Shooter\Libarys\include\glm\ext\vector_uint1.hpp                   | C++                |          9 |         16 |          8 |         33 |
| c:\First Person Shooter\Libarys\include\glm\ext\vector_uint1_precision.hpp         | C++                |         11 |         21 |          9 |         41 |
| c:\First Person Shooter\Libarys\include\glm\ext\vector_uint2.hpp                   | C++                |          6 |          8 |          5 |         19 |
| c:\First Person Shooter\Libarys\include\glm\ext\vector_uint2_precision.hpp         | C++                |          8 |         17 |          7 |         32 |
| c:\First Person Shooter\Libarys\include\glm\ext\vector_uint3.hpp                   | C++                |          6 |          8 |          5 |         19 |
| c:\First Person Shooter\Libarys\include\glm\ext\vector_uint3_precision.hpp         | C++                |          8 |         17 |          7 |         32 |
| c:\First Person Shooter\Libarys\include\glm\ext\vector_uint4.hpp                   | C++                |          6 |          8 |          5 |         19 |
| c:\First Person Shooter\Libarys\include\glm\ext\vector_uint4_precision.hpp         | C++                |          8 |         17 |          7 |         32 |
| c:\First Person Shooter\Libarys\include\glm\ext\vector_ulp.hpp                     | C++                |         25 |         71 |         14 |        110 |
| c:\First Person Shooter\Libarys\include\glm\ext\vector_ulp.inl                     | C++                |         67 |          0 |          8 |         75 |
| c:\First Person Shooter\Libarys\include\glm\fwd.hpp                                | C++                |        652 |         10 |        157 |        819 |
